dateRep,cases,deaths,countriesAndTerritories,continentExp,gdp_per_capita,life_expectancy,population,tests_units,Smokers
9/20/2020,125,4,Afghanistan,Asia,1803.987,64.83,41128772,,
9/19/2020,47,1,Afghanistan,Asia,1803.987,64.83,41128772,,
9/18/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/17/2020,17,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/16/2020,40,10,Afghanistan,Asia,1803.987,64.83,41128772,,
9/15/2020,99,6,Afghanistan,Asia,1803.987,64.83,41128772,,
9/14/2020,75,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/13/2020,35,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/12/2020,34,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/11/2020,28,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/10/2020,24,2,Afghanistan,Asia,1803.987,64.83,41128772,,
9/9/2020,26,3,Afghanistan,Asia,1803.987,64.83,41128772,,
9/8/2020,96,3,Afghanistan,Asia,1803.987,64.83,41128772,,
9/7/2020,74,2,Afghanistan,Asia,1803.987,64.83,41128772,,
9/6/2020,20,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/5/2020,16,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/4/2020,45,1,Afghanistan,Asia,1803.987,64.83,41128772,,
9/3/2020,38,3,Afghanistan,Asia,1803.987,64.83,41128772,,
9/2/2020,9,0,Afghanistan,Asia,1803.987,64.83,41128772,,
9/1/2020,34,4,Afghanistan,Asia,1803.987,64.83,41128772,,
8/31/2020,19,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/30/2020,3,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/29/2020,11,1,Afghanistan,Asia,1803.987,64.83,41128772,,
8/28/2020,3,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/27/2020,55,4,Afghanistan,Asia,1803.987,64.83,41128772,,
8/26/2020,1,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/25/2020,71,10,Afghanistan,Asia,1803.987,64.83,41128772,,
8/24/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
8/23/2020,105,2,Afghanistan,Asia,1803.987,64.83,41128772,,
8/22/2020,38,0,Afghanistan,Asia,1803.987,64.83,41128772,,
