dateRep;month;countriesAndTerritories;continentExp;cases;deaths;life_expectancy;population
6/11/2020;11;Afghanistan;Asia;40;0; 64.83 ; 41128772.0 
5/11/2020;11;Afghanistan;Asia;121;6; 64.83 ; 41128772.0 
4/11/2020;11;Afghanistan;Asia;86;4; 64.83 ; 41128772.0 
3/11/2020;11;Afghanistan;Asia;95;3; 64.83 ; 41128772.0 
2/11/2020;11;Afghanistan;Asia;132;5; 64.83 ; 41128772.0 
1/11/2020;11;Afghanistan;Asia;76;0; 64.83 ; 41128772.0 
31/10/2020;10;Afghanistan;Asia;157;4; 64.83 ; 41128772.0 
30/10/2020;10;Afghanistan;Asia;123;3; 64.83 ; 41128772.0 
29/10/2020;10;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
28/10/2020;10;Afghanistan;Asia;113;7; 64.83 ; 41128772.0 
27/10/2020;10;Afghanistan;Asia;199;8; 64.83 ; 41128772.0 
26/10/2020;10;Afghanistan;Asia;65;3; 64.83 ; 41128772.0 
25/10/2020;10;Afghanistan;Asia;81;4; 64.83 ; 41128772.0 
24/10/2020;10;Afghanistan;Asia;61;2; 64.83 ; 41128772.0 
23/10/2020;10;Afghanistan;Asia;116;4; 64.83 ; 41128772.0 
22/10/2020;10;Afghanistan;Asia;135;2; 64.83 ; 41128772.0 
21/10/2020;10;Afghanistan;Asia;88;2; 64.83 ; 41128772.0 
20/10/2020;10;Afghanistan;Asia;87;5; 64.83 ; 41128772.0 
19/10/2020;10;Afghanistan;Asia;59;4; 64.83 ; 41128772.0 
18/10/2020;10;Afghanistan;Asia;68;3; 64.83 ; 41128772.0 
17/10/2020;10;Afghanistan;Asia;47;4; 64.83 ; 41128772.0 
16/10/2020;10;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
15/10/2020;10;Afghanistan;Asia;32;1; 64.83 ; 41128772.0 
14/10/2020;10;Afghanistan;Asia;66;0; 64.83 ; 41128772.0 
13/10/2020;10;Afghanistan;Asia;129;3; 64.83 ; 41128772.0 
12/10/2020;10;Afghanistan;Asia;96;4; 64.83 ; 41128772.0 
11/10/2020;10;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
10/10/2020;10;Afghanistan;Asia;10;1; 64.83 ; 41128772.0 
9/10/2020;10;Afghanistan;Asia;77;2; 64.83 ; 41128772.0 
8/10/2020;10;Afghanistan;Asia;68;1; 64.83 ; 41128772.0 
7/10/2020;10;Afghanistan;Asia;62;2; 64.83 ; 41128772.0 
6/10/2020;10;Afghanistan;Asia;145;5; 64.83 ; 41128772.0 
5/10/2020;10;Afghanistan;Asia;44;0; 64.83 ; 41128772.0 
4/10/2020;10;Afghanistan;Asia;7;4; 64.83 ; 41128772.0 
3/10/2020;10;Afghanistan;Asia;5;0; 64.83 ; 41128772.0 
2/10/2020;10;Afghanistan;Asia;17;0; 64.83 ; 41128772.0 
1/10/2020;10;Afghanistan;Asia;14;0; 64.83 ; 41128772.0 
30/9/2020;9;Afghanistan;Asia;15;2; 64.83 ; 41128772.0 
29/9/2020;9;Afghanistan;Asia;12;3; 64.83 ; 41128772.0 
28/9/2020;9;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
27/9/2020;9;Afghanistan;Asia;35;0; 64.83 ; 41128772.0 
26/9/2020;9;Afghanistan;Asia;6;2; 64.83 ; 41128772.0 
25/9/2020;9;Afghanistan;Asia;16;0; 64.83 ; 41128772.0 
24/9/2020;9;Afghanistan;Asia;25;5; 64.83 ; 41128772.0 
23/9/2020;9;Afghanistan;Asia;71;2; 64.83 ; 41128772.0 
22/9/2020;9;Afghanistan;Asia;30;3; 64.83 ; 41128772.0 
21/9/2020;9;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
20/9/2020;9;Afghanistan;Asia;125;4; 64.83 ; 41128772.0 
19/9/2020;9;Afghanistan;Asia;47;1; 64.83 ; 41128772.0 
18/9/2020;9;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
17/9/2020;9;Afghanistan;Asia;17;0; 64.83 ; 41128772.0 
16/9/2020;9;Afghanistan;Asia;40;10; 64.83 ; 41128772.0 
15/9/2020;9;Afghanistan;Asia;99;6; 64.83 ; 41128772.0 
14/9/2020;9;Afghanistan;Asia;75;0; 64.83 ; 41128772.0 
13/9/2020;9;Afghanistan;Asia;35;0; 64.83 ; 41128772.0 
12/9/2020;9;Afghanistan;Asia;34;0; 64.83 ; 41128772.0 
