dateRep;countriesAndTerritories;cases;deaths;life_expectancy;population
9/9/2020;Afghanistan;26;3; 64.83 ; 41128772.0 
8/9/2020;Afghanistan;96;3; 64.83 ; 41128772.0 
7/9/2020;Afghanistan;74;2; 64.83 ; 41128772.0 
6/9/2020;Afghanistan;20;0; 64.83 ; 41128772.0 
5/9/2020;Afghanistan;16;0; 64.83 ; 41128772.0 
4/9/2020;Afghanistan;45;1; 64.83 ; 41128772.0 
3/9/2020;Afghanistan;38;3; 64.83 ; 41128772.0 
2/9/2020;Afghanistan;9;0; 64.83 ; 41128772.0 
1/9/2020;Afghanistan;34;4; 64.83 ; 41128772.0 
31/8/2020;Afghanistan;19;0; 64.83 ; 41128772.0 
30/8/2020;Afghanistan;3;0; 64.83 ; 41128772.0 
29/8/2020;Afghanistan;11;1; 64.83 ; 41128772.0 
28/8/2020;Afghanistan;3;0; 64.83 ; 41128772.0 
27/8/2020;Afghanistan;55;4; 64.83 ; 41128772.0 
26/8/2020;Afghanistan;1;0; 64.83 ; 41128772.0 
25/8/2020;Afghanistan;71;10; 64.83 ; 41128772.0 
24/8/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
23/8/2020;Afghanistan;105;2; 64.83 ; 41128772.0 
22/8/2020;Afghanistan;38;0; 64.83 ; 41128772.0 
21/8/2020;Afghanistan;97;2; 64.83 ; 41128772.0 
20/8/2020;Afghanistan;160;8; 64.83 ; 41128772.0 
19/8/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
18/8/2020;Afghanistan;3;0; 64.83 ; 41128772.0 
17/8/2020;Afghanistan;45;5; 64.83 ; 41128772.0 
16/8/2020;Afghanistan;120;7; 64.83 ; 41128772.0 
15/8/2020;Afghanistan;7;0; 64.83 ; 41128772.0 
14/8/2020;Afghanistan;79;9; 64.83 ; 41128772.0 
13/8/2020;Afghanistan;76;10; 64.83 ; 41128772.0 
12/8/2020;Afghanistan;215;32; 64.83 ; 41128772.0 
11/8/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
10/8/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
9/8/2020;Afghanistan;39;5; 64.83 ; 41128772.0 
8/8/2020;Afghanistan;78;9; 64.83 ; 41128772.0 
7/8/2020;Afghanistan;41;0; 64.83 ; 41128772.0 
6/8/2020;Afghanistan;67;4; 64.83 ; 41128772.0 
5/8/2020;Afghanistan;82;6; 64.83 ; 41128772.0 
4/8/2020;Afghanistan;37;4; 64.83 ; 41128772.0 
3/8/2020;Afghanistan;0;1; 64.83 ; 41128772.0 
2/8/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
1/8/2020;Afghanistan;168;12; 64.83 ; 41128772.0 
31/7/2020;Afghanistan;71;0; 64.83 ; 41128772.0 
30/7/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
29/7/2020;Afghanistan;103;1; 64.83 ; 41128772.0 
28/7/2020;Afghanistan;105;1; 64.83 ; 41128772.0 
27/7/2020;Afghanistan;106;10; 64.83 ; 41128772.0 
26/7/2020;Afghanistan;121;13; 64.83 ; 41128772.0 
25/7/2020;Afghanistan;108;35; 64.83 ; 41128772.0 
24/7/2020;Afghanistan;13;0; 64.83 ; 41128772.0 
23/7/2020;Afghanistan;188;21; 64.83 ; 41128772.0 
22/7/2020;Afghanistan;112;4; 64.83 ; 41128772.0 
21/7/2020;Afghanistan;140;5; 64.83 ; 41128772.0 
20/7/2020;Afghanistan;174;17; 64.83 ; 41128772.0 
19/7/2020;Afghanistan;12;17; 64.83 ; 41128772.0 
18/7/2020;Afghanistan;219;32; 64.83 ; 41128772.0 
17/7/2020;Afghanistan;76;21; 64.83 ; 41128772.0 
16/7/2020;Afghanistan;254;49; 64.83 ; 41128772.0 
15/7/2020;Afghanistan;285;33; 64.83 ; 41128772.0 
14/7/2020;Afghanistan;4;2; 64.83 ; 41128772.0 
13/7/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
12/7/2020;Afghanistan;85;16; 64.83 ; 41128772.0 
11/7/2020;Afghanistan;458;37; 64.83 ; 41128772.0 
10/7/2020;Afghanistan;255;20; 64.83 ; 41128772.0 
9/7/2020;Afghanistan;59;1; 64.83 ; 41128772.0 
8/7/2020;Afghanistan;210;16; 64.83 ; 41128772.0 
7/7/2020;Afghanistan;433;56; 64.83 ; 41128772.0 
6/7/2020;Afghanistan;279;38; 64.83 ; 41128772.0 
5/7/2020;Afghanistan;348;7; 64.83 ; 41128772.0 
4/7/2020;Afghanistan;302;12; 64.83 ; 41128772.0 
3/7/2020;Afghanistan;186;33; 64.83 ; 41128772.0 
2/7/2020;Afghanistan;319;28; 64.83 ; 41128772.0 
1/7/2020;Afghanistan;279;13; 64.83 ; 41128772.0 
30/6/2020;Afghanistan;271;12; 64.83 ; 41128772.0 
29/6/2020;Afghanistan;351;18; 64.83 ; 41128772.0 
28/6/2020;Afghanistan;165;20; 64.83 ; 41128772.0 
27/6/2020;Afghanistan;276;8; 64.83 ; 41128772.0 
26/6/2020;Afghanistan;460;36; 64.83 ; 41128772.0 
25/6/2020;Afghanistan;234;21; 64.83 ; 41128772.0 
24/6/2020;Afghanistan;338;20; 64.83 ; 41128772.0 
23/6/2020;Afghanistan;310;17; 64.83 ; 41128772.0 
22/6/2020;Afghanistan;409;12; 64.83 ; 41128772.0 
21/6/2020;Afghanistan;546;21; 64.83 ; 41128772.0 
20/6/2020;Afghanistan;346;2; 64.83 ; 41128772.0 
19/6/2020;Afghanistan;658;42; 64.83 ; 41128772.0 
18/6/2020;Afghanistan;564;13; 64.83 ; 41128772.0 
17/6/2020;Afghanistan;783;13; 64.83 ; 41128772.0 
16/6/2020;Afghanistan;761;7; 64.83 ; 41128772.0 
15/6/2020;Afghanistan;664;20; 64.83 ; 41128772.0 
14/6/2020;Afghanistan;556;5; 64.83 ; 41128772.0 
13/6/2020;Afghanistan;656;20; 64.83 ; 41128772.0 
12/6/2020;Afghanistan;747;21; 64.83 ; 41128772.0 
11/6/2020;Afghanistan;684;21; 64.83 ; 41128772.0 
10/6/2020;Afghanistan;542;15; 64.83 ; 41128772.0 
9/6/2020;Afghanistan;575;12; 64.83 ; 41128772.0 
8/6/2020;Afghanistan;791;30; 64.83 ; 41128772.0 
7/6/2020;Afghanistan;582;18; 64.83 ; 41128772.0 
6/6/2020;Afghanistan;915;9; 64.83 ; 41128772.0 
5/6/2020;Afghanistan;787;6; 64.83 ; 41128772.0 
4/6/2020;Afghanistan;758;24; 64.83 ; 41128772.0 
3/6/2020;Afghanistan;759;5; 64.83 ; 41128772.0 
2/6/2020;Afghanistan;545;8; 64.83 ; 41128772.0 
1/6/2020;Afghanistan;680;8; 64.83 ; 41128772.0 
31/5/2020;Afghanistan;866;3; 64.83 ; 41128772.0 
30/5/2020;Afghanistan;623;11; 64.83 ; 41128772.0 
29/5/2020;Afghanistan;580;8; 64.83 ; 41128772.0 
28/5/2020;Afghanistan;625;7; 64.83 ; 41128772.0 
27/5/2020;Afghanistan;658;1; 64.83 ; 41128772.0 
26/5/2020;Afghanistan;591;1; 64.83 ; 41128772.0 
25/5/2020;Afghanistan;584;2; 64.83 ; 41128772.0 
24/5/2020;Afghanistan;782;11; 64.83 ; 41128772.0 
23/5/2020;Afghanistan;540;12; 64.83 ; 41128772.0 
22/5/2020;Afghanistan;531;6; 64.83 ; 41128772.0 
21/5/2020;Afghanistan;492;9; 64.83 ; 41128772.0 
20/5/2020;Afghanistan;581;5; 64.83 ; 41128772.0 
19/5/2020;Afghanistan;408;4; 64.83 ; 41128772.0 
18/5/2020;Afghanistan;262;1; 64.83 ; 41128772.0 
17/5/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
16/5/2020;Afghanistan;1063;32; 64.83 ; 41128772.0 
15/5/2020;Afghanistan;113;6; 64.83 ; 41128772.0 
14/5/2020;Afghanistan;259;3; 64.83 ; 41128772.0 
13/5/2020;Afghanistan;280;5; 64.83 ; 41128772.0 
